Project,Logistic Regression,Random Forest,Gradient Boosting,SVM,MLP,Naive Bayes,Stacking Classifier,CNN,LSTM,LLAMA 3.3 70B,Mistral Nemo 24.07,Gemini 1.5 Flash,GPT 4o,GPT 4o mini,GPT 4o zeroshot,GPT 4o cot  fewshot
Camperplus,0.607,0.946,0.976,0.798,0.708,0.303,0.969,0.707,0.387,0.264,0.138,0.053,0.105,0.056,0.143,0.128
Fish&Chips,0.648,0.986,0.99,0.763,0.511,0.773,0.993,0.616,0.588,0.154,0.308,0.364,0.429,0.333,0.462,0.143
Grocery,0.901,0.979,0.979,0.903,0.845,0.78,0.985,0.804,0.75,0.667,0.636,0.8,0.667,0.737,0.842,0.615
Planningpoker,0.803,0.943,0.982,0.879,0.454,0.744,0.939,0.7,0.482,0.429,0.5,0.545,0.429,0.429,0.462,0.211
Recycling,0.827,0.967,1,0.821,0.605,0.773,1,0.734,0.697,0.421,0.133,0.308,0.471,0.316,0.375,0.286
School,0.656,0.972,0.976,0.803,0.693,0.71,0.985,0.616,0.386,0.264,0.282,0.286,0.279,0.28,0.140,0.276
Sports,0.723,0.952,0.991,0.837,0.692,0.681,0.991,0.719,0.54,0.148,0.211,0.182,0.125,0.125,0.214,0.143
Supermarket,0.904,0.982,0.993,0.97,0.84,0.809,0.993,0.872,0.752,0.538,0.45,0.545,0.6,0.467,0.571,0.474
Ticket,0.614,0.975,0.996,0.852,0.639,0.625,0.996,0.764,0.548,0.143,0.304,0.286,0.25,0.333,0.24,0.229
Mean,0.743,0.967,0.987,0.847,0.665,0.689,0.983,0.726,0.57,0.336,0.329,0.374,0.373,0.342,0.342,0.278
Std-dev,0.112,0.015,0.008,0.059,0.124,0.146,0.018,0.078,0.133,0.177,0.16,0.211,0.186,0.186,0.186,0.156
