Project,Logistic Regression,Random Forest,Gradient Boosting,SVM,MLP,Naive Bayes,Stacking Classifier,CNN,LSTM,LLAMA 3.3 70B,Mistral Nemo 24.07,Gemini 1.5 Flash,GPT 4o,GPT 4o mini,GPT 4o zeroshot,GPT 4o cot  fewshot
Camperplus,0.94,0.977,0.973,0.922,0.732,0.755,0.976,0.697,0.775,0.5,0.296,0.294,0.556,0.323,0.359,0.457
Fish&Chips,0.926,0.998,0.999,0.974,0.836,0.757,1,0.852,0.837,0.462,0.444,0.5,0.375,0.316,0.231,0.348
Grocery,0.852,0.966,0.964,0.954,0.825,0.792,0.967,0.819,0.828,0.526,0.533,0.778,0.696,0.455,0.500,0.636
Planningpoker,0.992,0.998,0.998,0.99,0.903,0.739,0.996,0.989,0.885,0.4,0.667,0.545,0.6,0.417,0.480,0.526
Recycling,0.884,0.947,0.95,0.94,0.861,0.738,0.948,0.882,0.84,0.323,0.353,0.267,0.357,0.194,0.235,0.222
School,0.974,0.974,0.988,0.976,0.964,0.786,0.99,0.966,0.925,0.471,0.432,0.467,0.5,0.529,0.486,0.375
Sports,0.969,0.985,0.985,0.964,0.927,0.812,0.985,0.936,0.93,0.583,0.333,0.571,0.485,0.348,0.412,0.417
Supermarket,0.909,0.984,0.982,0.912,0.847,0.752,0.983,0.842,0.812,0.741,0.667,0.667,0.485,0.444,0.424,0.727
Ticket,0.853,0.99,0.99,0.942,0.858,0.871,0.99,0.85,0.851,0.5,0.533,0.421,0.538,0.444,0.256,0.273
Mean,0.922,0.98,0.981,0.953,0.861,0.778,0.982,0.87,0.854,0.501,0.473,0.501,0.51,0.385,0.385,0.442
Std-Dev,0.049,0.015,0.015,0.024,0.063,0.041,0.015,0.083,0.048,0.11,0.129,0.155,0.099,0.095,0.095,0.155
