Model,Project,F0.5-Score,F1-Score,F2-Score
gemini,camperplus,0.06024096385542169,0.052631578947368425,0.04672897196261682
gemini,fish_chips,0.5,0.36363636363636365,0.2857142857142857
gemini,grocery,0.8333333333333333,0.7999999999999999,0.7692307692307692
gemini,planningpoker,0.5769230769230769,0.5454545454545454,0.5172413793103449
gemini,recycling,0.2941176470588235,0.30769230769230765,0.3225806451612903
gemini,school,0.35211267605633806,0.2857142857142857,0.24038461538461536
gemini,sports,0.1923076923076923,0.1818181818181818,0.17241379310344826
gemini,supermarket,0.6122448979591837,0.5454545454545455,0.49180327868852464
gemini,ticket,0.3333333333333333,0.2857142857142857,0.25
gpt4o,camperplus,0.12048192771084339,0.10526315789473685,0.09345794392523364
gpt4o,fish_chips,0.46875,0.42857142857142855,0.39473684210526316
gpt4o,grocery,0.625,0.6666666666666665,0.7142857142857143
gpt4o,planningpoker,0.39473684210526316,0.42857142857142855,0.46875
gpt4o,recycling,0.4,0.4705882352941177,0.5714285714285715
gpt4o,school,0.2912621359223301,0.27906976744186046,0.26785714285714285
gpt4o,sports,0.10869565217391304,0.125,0.14705882352941177
gpt4o,supermarket,0.5555555555555556,0.5999999999999999,0.6521739130434783
gpt4o,ticket,0.26315789473684204,0.24999999999999994,0.23809523809523805
llama,camperplus,0.24475524475524474,0.26415094339622636,0.28688524590163933
llama,fish_chips,0.17857142857142858,0.15384615384615385,0.13513513513513511
llama,grocery,0.5833333333333334,0.6666666666666667,0.7777777777777778
llama,planningpoker,0.39473684210526316,0.42857142857142855,0.46875
llama,recycling,0.3448275862068965,0.42105263157894735,0.5405405405405406
llama,school,0.24475524475524474,0.26415094339622636,0.28688524590163933
llama,sports,0.1388888888888889,0.14814814814814814,0.15873015873015872
llama,supermarket,0.5384615384615384,0.5384615384615384,0.5384615384615384
llama,ticket,0.136986301369863,0.14285714285714288,0.14925373134328357
mistral,camperplus,0.12269938650306747,0.13793103448275862,0.1574803149606299
mistral,fish_chips,0.35714285714285715,0.3076923076923077,0.27027027027027023
mistral,grocery,0.546875,0.6363636363636364,0.7608695652173914
mistral,planningpoker,0.5,0.5,0.5
mistral,recycling,0.11904761904761905,0.13333333333333333,0.15151515151515152
mistral,school,0.23255813953488375,0.28169014084507044,0.35714285714285715
mistral,sports,0.17241379310344826,0.21052631578947367,0.2702702702702703
mistral,supermarket,0.371900826446281,0.45,0.5696202531645569
mistral,ticket,0.2413793103448276,0.30434782608695654,0.4117647058823529
gpt4omini,camperplus,0.06666666666666667,0.05555555555555555,0.047619047619047616
gpt4omini,fish_chips,0.4166666666666667,0.3333333333333333,0.2777777777777778
gpt4omini,grocery,0.6730769230769229,0.7368421052631579,0.8139534883720929
gpt4omini,planningpoker,0.39473684210526316,0.42857142857142855,0.46875
gpt4omini,recycling,0.25862068965517243,0.3157894736842105,0.40540540540540543
gpt4omini,school,0.26717557251908397,0.27999999999999997,0.29411764705882354
gpt4omini,sports,0.10869565217391304,0.125,0.14705882352941177
gpt4omini,supermarket,0.43209876543209885,0.4666666666666667,0.5072463768115942
gpt4omini,ticket,0.3508771929824561,0.33333333333333337,0.3174603174603175
gpt4ofewshotcot,camperplus,0.12605042016806722,0.1276595744680851,0.12931034482758622
gpt4ofewshotcot,fish_chips,0.15625,0.14285714285714288,0.13157894736842105
gpt4ofewshotcot,grocery,0.5,0.6153846153846153,0.8
gpt4ofewshotcot,planningpoker,0.17241379310344826,0.21052631578947367,0.2702702702702703
gpt4ofewshotcot,recycling,0.22727272727272727,0.28571428571428575,0.3846153846153846
gpt4ofewshotcot,school,0.24539877300613494,0.27586206896551724,0.3149606299212598
gpt4ofewshotcot,sports,0.11363636363636363,0.14285714285714288,0.1923076923076923
gpt4ofewshotcot,supermarket,0.39823008849557523,0.47368421052631576,0.5844155844155845
gpt4ofewshotcot,ticket,0.19801980198019803,0.2285714285714286,0.2702702702702703
gpt4ozeroshot,camperplus,0.15151515151515155,0.14285714285714288,0.13513513513513514
gpt4ozeroshot,fish_chips,0.5357142857142857,0.4615384615384615,0.40540540540540543
gpt4ozeroshot,grocery,0.7692307692307693,0.8421052631578948,0.930232558139535
gpt4ozeroshot,planningpoker,0.44117647058823534,0.4615384615384615,0.48387096774193544
gpt4ozeroshot,recycling,0.32608695652173914,0.37499999999999994,0.4411764705882353
gpt4ozeroshot,school,0.14563106796116504,0.13953488372093023,0.13392857142857142
gpt4ozeroshot,sports,0.19736842105263158,0.21428571428571427,0.234375
gpt4ozeroshot,supermarket,0.547945205479452,0.5714285714285715,0.5970149253731343
gpt4ozeroshot,ticket,0.24590163934426232,0.24000000000000002,0.234375
