Model,Project,F0.5-Score,F1-Score,F2-Score
gemini,camperplus,0.29411764705882354,0.29411764705882354,0.29411764705882354
gemini,fish_chips,0.45454545454545453,0.5,0.5555555555555556
gemini,grocery,0.7777777777777778,0.7777777777777778,0.7777777777777778
gemini,planningpoker,0.5769230769230769,0.5454545454545454,0.5172413793103449
gemini,recycling,0.30303030303030304,0.26666666666666666,0.2380952380952381
gemini,school,0.5072463768115942,0.4666666666666667,0.43209876543209885
gemini,sports,0.6666666666666666,0.5714285714285714,0.5
gemini,supermarket,0.769230769230769,0.6666666666666665,0.588235294117647
gemini,ticket,0.4081632653061225,0.4210526315789474,0.4347826086956522
gpt4o,camperplus,0.5376344086021505,0.5555555555555555,0.5747126436781609
gpt4o,fish_chips,0.30612244897959173,0.37499999999999994,0.4838709677419354
gpt4o,grocery,0.6153846153846154,0.6956521739130435,0.8
gpt4o,planningpoker,0.48387096774193544,0.6,0.7894736842105262
gpt4o,recycling,0.2941176470588235,0.35714285714285715,0.4545454545454545
gpt4o,school,0.4587155963302752,0.5,0.5494505494505495
gpt4o,sports,0.43010752688172044,0.4848484848484849,0.5555555555555556
gpt4o,supermarket,0.40404040404040403,0.4848484848484849,0.6060606060606061
gpt4o,ticket,0.45454545454545453,0.5384615384615384,0.660377358490566
llama,camperplus,0.5194805194805195,0.5,0.4819277108433735
llama,fish_chips,0.40540540540540543,0.4615384615384615,0.5357142857142857
llama,grocery,0.5102040816326531,0.5263157894736842,0.5434782608695652
llama,planningpoker,0.3225806451612903,0.4,0.5263157894736843
llama,recycling,0.2577319587628866,0.3225806451612903,0.4310344827586208
llama,school,0.4705882352941177,0.47058823529411764,0.4705882352941177
llama,sports,0.6140350877192983,0.5833333333333334,0.5555555555555556
llama,supermarket,0.6666666666666666,0.7407407407407406,0.8333333333333333
llama,ticket,0.43478260869565216,0.5,0.5882352941176471
mistral,camperplus,0.3508771929824561,0.29629629629629634,0.2564102564102564
mistral,fish_chips,0.47619047619047616,0.4444444444444445,0.4166666666666667
mistral,grocery,0.6060606060606061,0.5333333333333333,0.4761904761904762
mistral,planningpoker,0.6666666666666667,0.6666666666666666,0.6666666666666667
mistral,recycling,0.36585365853658536,0.35294117647058826,0.34090909090909094
mistral,school,0.4123711340206186,0.4324324324324324,0.4545454545454545
mistral,sports,0.3508771929824561,0.33333333333333337,0.3174603174603175
mistral,supermarket,0.769230769230769,0.6666666666666665,0.588235294117647
mistral,ticket,0.6060606060606061,0.5333333333333333,0.4761904761904762
gpt4omini,camperplus,0.3424657534246575,0.3225806451612903,0.3048780487804878
gpt4omini,fish_chips,0.24590163934426226,0.3157894736842105,0.4411764705882353
gpt4omini,grocery,0.40983606557377056,0.4545454545454546,0.5102040816326532
gpt4omini,planningpoker,0.32051282051282054,0.4166666666666667,0.5952380952380952
gpt4omini,recycling,0.15463917525773194,0.1935483870967742,0.25862068965517243
gpt4omini,school,0.5294117647058825,0.5294117647058824,0.5294117647058825
gpt4omini,sports,0.37735849056603776,0.34782608695652173,0.3225806451612903
gpt4omini,supermarket,0.4,0.4444444444444444,0.5
gpt4omini,ticket,0.3703703703703704,0.4444444444444444,0.5555555555555556
gpt4ofewshotcot,camperplus,0.449438202247191,0.45714285714285713,0.4651162790697674
gpt4ofewshotcot,fish_chips,0.2597402597402597,0.3478260869565218,0.5263157894736843
gpt4ofewshotcot,grocery,0.5737704918032788,0.6363636363636364,0.7142857142857144
gpt4ofewshotcot,planningpoker,0.4310344827586207,0.5263157894736842,0.6756756756756757
gpt4ofewshotcot,recycling,0.1851851851851852,0.2222222222222222,0.2777777777777778
gpt4ofewshotcot,school,0.38961038961038963,0.37500000000000006,0.3614457831325302
gpt4ofewshotcot,sports,0.4385964912280701,0.41666666666666663,0.39682539682539675
gpt4ofewshotcot,supermarket,0.7272727272727272,0.7272727272727273,0.7272727272727272
gpt4ofewshotcot,ticket,0.24590163934426232,0.27272727272727276,0.30612244897959184
gpt4ozeroshot,camperplus,0.3333333333333333,0.358974358974359,0.38888888888888884
gpt4ozeroshot,fish_chips,0.1685393258426966,0.23076923076923073,0.36585365853658536
gpt4ozeroshot,grocery,0.39603960396039606,0.5,0.6779661016949152
gpt4ozeroshot,planningpoker,0.36585365853658536,0.4799999999999999,0.6976744186046512
gpt4ozeroshot,recycling,0.1834862385321101,0.23529411764705882,0.3278688524590164
gpt4ozeroshot,school,0.46391752577319584,0.48648648648648646,0.5113636363636364
gpt4ozeroshot,sports,0.3608247422680412,0.41176470588235287,0.4794520547945205
gpt4ozeroshot,supermarket,0.35353535353535354,0.4242424242424242,0.5303030303030303
gpt4ozeroshot,ticket,0.19379844961240308,0.2564102564102564,0.37878787878787873
