(Payments, ParentGuardians)
(Rules, Camper)
(Rules, Camp Worker)
(Camp Worker, Camper)
(Camp Worker, Supplies)
(Camp Worker, Facilities)
(Attendance, Camper)
(Attendance, Camp Group)
(Facilities, Activities)
(Facilities, Camp)
(Photos, Camper)
(Feedback, ParentGuardians)
(Feedback, Camp)
(Camper, ParentGuardians)
(Camper, Forms)
(Camper, Camp Group)
(Camper, Activities)
(Camper, Counselor)
(Camper, Schedules)
(ParentGuardians, Forms)
(Schedules, Activities)
(Activities, Camp Group)
(Camp, Positions)
(Positions, Camp Worker)
